source,title,property_type,transaction_type,location,price,area_sqm,bedrooms,bathrooms,date_posted,description,url
atsogo,Plot in Area 41,Plot,For Sale,"LILONGWE, Area 41,",85000000.00,0,0,0,2025-06-20 11:00:03,,https://atsogo.mw/listings/properties?page=3
atsogo,Furnished House,Complete House,For rent,"LILONGWE, New Area 43,",2000.00,0,4,5,2025-06-20 10:41:53,,https://atsogo.mw/listings/properties?page=3
atsogo,Plot for sale,Land,For Sale,"LILONGWE, Area 46,",115000000.00,2100,0,0,2025-06-03 10:29:12,,https://atsogo.mw/listings/properties?page=3
atsogo,House for office use,Complete House,For rent,"LILONGWE, Area 6,",2000000.00,0,5,3,2025-05-19 13:16:34,,https://atsogo.mw/listings/properties?page=3
atsogo,Commercial property,Commercial Property,For Sale,"LILONGWE, Mitundu Trading,",35000000.00,0,0,0,2025-05-19 11:27:04,,https://atsogo.mw/listings/properties?page=3
atsogo,Plot for sale,Plot,For Sale,"LILONGWE, Area 43,",165000000.00,1500,0,0,2025-05-12 12:00:48,,https://atsogo.mw/listings/properties?page=3
atsogo,Office space,Commercial Property,For rent,"LILONGWE, Old Area 10,",3000000.00,0,8,3,2025-05-12 10:40:23,,https://atsogo.mw/listings/properties?page=3
atsogo,House for sale,Incompleted House,For Sale,"LILONGWE, Area 49 Baghdad,",100000000.00,450,3,2,2025-04-26 11:15:54,,https://atsogo.mw/listings/properties?page=3
atsogo,Plot in Area 41,Plot,For Sale,"LILONGWE, Area 41,",85000000.00,0,0,0,2025-06-20 11:00:03,,https://atsogo.mw/listings/properties?page=4
atsogo,Furnished House,Complete House,For rent,"LILONGWE, New Area 43,",2000.00,0,4,5,2025-06-20 10:41:53,,https://atsogo.mw/listings/properties?page=4
atsogo,Plot for sale,Land,For Sale,"LILONGWE, Area 46,",115000000.00,2100,0,0,2025-06-03 10:29:12,,https://atsogo.mw/listings/properties?page=4
atsogo,House for office use,Complete House,For rent,"LILONGWE, Area 6,",2000000.00,0,5,3,2025-05-19 13:16:34,,https://atsogo.mw/listings/properties?page=4
atsogo,Commercial property,Commercial Property,For Sale,"LILONGWE, Mitundu Trading,",35000000.00,0,0,0,2025-05-19 11:27:04,,https://atsogo.mw/listings/properties?page=4
atsogo,Plot for sale,Plot,For Sale,"LILONGWE, Area 43,",165000000.00,1500,0,0,2025-05-12 12:00:48,,https://atsogo.mw/listings/properties?page=4
atsogo,Office space,Commercial Property,For rent,"LILONGWE, Old Area 10,",3000000.00,0,8,3,2025-05-12 10:40:23,,https://atsogo.mw/listings/properties?page=4
atsogo,House for sale,Incompleted House,For Sale,"LILONGWE, Area 49 Baghdad,",100000000.00,450,3,2,2025-04-26 11:15:54,,https://atsogo.mw/listings/properties?page=4
atsogo,Plot in Area 41,Plot,For Sale,"LILONGWE, Area 41,",85000000.00,0,0,0,2025-06-20 11:00:03,,https://atsogo.mw/listings/properties?page=5
atsogo,Furnished House,Complete House,For rent,"LILONGWE, New Area 43,",2000.00,0,4,5,2025-06-20 10:41:53,,https://atsogo.mw/listings/properties?page=5
atsogo,Plot for sale,Land,For Sale,"LILONGWE, Area 46,",115000000.00,2100,0,0,2025-06-03 10:29:12,,https://atsogo.mw/listings/properties?page=5
atsogo,House for office use,Complete House,For rent,"LILONGWE, Area 6,",2000000.00,0,5,3,2025-05-19 13:16:34,,https://atsogo.mw/listings/properties?page=5
atsogo,Commercial property,Commercial Property,For Sale,"LILONGWE, Mitundu Trading,",35000000.00,0,0,0,2025-05-19 11:27:04,,https://atsogo.mw/listings/properties?page=5
atsogo,Plot for sale,Plot,For Sale,"LILONGWE, Area 43,",165000000.00,1500,0,0,2025-05-12 12:00:48,,https://atsogo.mw/listings/properties?page=5
atsogo,Office space,Commercial Property,For rent,"LILONGWE, Old Area 10,",3000000.00,0,8,3,2025-05-12 10:40:23,,https://atsogo.mw/listings/properties?page=5
atsogo,House for sale,Incompleted House,For Sale,"LILONGWE, Area 49 Baghdad,",100000000.00,450,3,2,2025-04-26 11:15:54,,https://atsogo.mw/listings/properties?page=5
atsogo,Plot in Area 41,Plot,For Sale,"LILONGWE, Area 41,",85000000.00,0,0,0,2025-06-20 11:00:03,,https://atsogo.mw/listings/properties?page=6
atsogo,Furnished House,Complete House,For rent,"LILONGWE, New Area 43,",2000.00,0,4,5,2025-06-20 10:41:53,,https://atsogo.mw/listings/properties?page=6
atsogo,Plot for sale,Land,For Sale,"LILONGWE, Area 46,",115000000.00,2100,0,0,2025-06-03 10:29:12,,https://atsogo.mw/listings/properties?page=6
atsogo,House for office use,Complete House,For rent,"LILONGWE, Area 6,",2000000.00,0,5,3,2025-05-19 13:16:34,,https://atsogo.mw/listings/properties?page=6
atsogo,Commercial property,Commercial Property,For Sale,"LILONGWE, Mitundu Trading,",35000000.00,0,0,0,2025-05-19 11:27:04,,https://atsogo.mw/listings/properties?page=6
atsogo,Plot for sale,Plot,For Sale,"LILONGWE, Area 43,",165000000.00,1500,0,0,2025-05-12 12:00:48,,https://atsogo.mw/listings/properties?page=6
atsogo,Office space,Commercial Property,For rent,"LILONGWE, Old Area 10,",3000000.00,0,8,3,2025-05-12 10:40:23,,https://atsogo.mw/listings/properties?page=6
atsogo,House for sale,Incompleted House,For Sale,"LILONGWE, Area 49 Baghdad,",100000000.00,450,3,2,2025-04-26 11:15:54,,https://atsogo.mw/listings/properties?page=6
atsogo,Plot in Area 41,Plot,For Sale,"LILONGWE, Area 41,",85000000.00,0,0,0,2025-06-20 11:00:03,,https://atsogo.mw/listings/properties?page=7
atsogo,Furnished House,Complete House,For rent,"LILONGWE, New Area 43,",2000.00,0,4,5,2025-06-20 10:41:53,,https://atsogo.mw/listings/properties?page=7
atsogo,Plot for sale,Land,For Sale,"LILONGWE, Area 46,",115000000.00,2100,0,0,2025-06-03 10:29:12,,https://atsogo.mw/listings/properties?page=7
atsogo,House for office use,Complete House,For rent,"LILONGWE, Area 6,",2000000.00,0,5,3,2025-05-19 13:16:34,,https://atsogo.mw/listings/properties?page=7
atsogo,Commercial property,Commercial Property,For Sale,"LILONGWE, Mitundu Trading,",35000000.00,0,0,0,2025-05-19 11:27:04,,https://atsogo.mw/listings/properties?page=7
atsogo,Plot for sale,Plot,For Sale,"LILONGWE, Area 43,",165000000.00,1500,0,0,2025-05-12 12:00:48,,https://atsogo.mw/listings/properties?page=7
atsogo,Office space,Commercial Property,For rent,"LILONGWE, Old Area 10,",3000000.00,0,8,3,2025-05-12 10:40:23,,https://atsogo.mw/listings/properties?page=7
atsogo,House for sale,Incompleted House,For Sale,"LILONGWE, Area 49 Baghdad,",100000000.00,450,3,2,2025-04-26 11:15:54,,https://atsogo.mw/listings/properties?page=7
atsogo,Plot in Area 41,Plot,For Sale,"LILONGWE, Area 41,",85000000.00,0,0,0,2025-06-20 11:00:03,,https://atsogo.mw/listings/properties?page=8
atsogo,Furnished House,Complete House,For rent,"LILONGWE, New Area 43,",2000.00,0,4,5,2025-06-20 10:41:53,,https://atsogo.mw/listings/properties?page=8
atsogo,Plot for sale,Land,For Sale,"LILONGWE, Area 46,",115000000.00,2100,0,0,2025-06-03 10:29:12,,https://atsogo.mw/listings/properties?page=8
atsogo,House for office use,Complete House,For rent,"LILONGWE, Area 6,",2000000.00,0,5,3,2025-05-19 13:16:34,,https://atsogo.mw/listings/properties?page=8
atsogo,Commercial property,Commercial Property,For Sale,"LILONGWE, Mitundu Trading,",35000000.00,0,0,0,2025-05-19 11:27:04,,https://atsogo.mw/listings/properties?page=8
atsogo,Plot for sale,Plot,For Sale,"LILONGWE, Area 43,",165000000.00,1500,0,0,2025-05-12 12:00:48,,https://atsogo.mw/listings/properties?page=8
atsogo,Office space,Commercial Property,For rent,"LILONGWE, Old Area 10,",3000000.00,0,8,3,2025-05-12 10:40:23,,https://atsogo.mw/listings/properties?page=8
atsogo,House for sale,Incompleted House,For Sale,"LILONGWE, Area 49 Baghdad,",100000000.00,450,3,2,2025-04-26 11:15:54,,https://atsogo.mw/listings/properties?page=8
atsogo,Plot in Area 41,Plot,For Sale,"LILONGWE, Area 41,",85000000.00,0,0,0,2025-06-20 11:00:03,,https://atsogo.mw/listings/properties?page=9
atsogo,Furnished House,Complete House,For rent,"LILONGWE, New Area 43,",2000.00,0,4,5,2025-06-20 10:41:53,,https://atsogo.mw/listings/properties?page=9
atsogo,Plot for sale,Land,For Sale,"LILONGWE, Area 46,",115000000.00,2100,0,0,2025-06-03 10:29:12,,https://atsogo.mw/listings/properties?page=9
atsogo,House for office use,Complete House,For rent,"LILONGWE, Area 6,",2000000.00,0,5,3,2025-05-19 13:16:34,,https://atsogo.mw/listings/properties?page=9
atsogo,Commercial property,Commercial Property,For Sale,"LILONGWE, Mitundu Trading,",35000000.00,0,0,0,2025-05-19 11:27:04,,https://atsogo.mw/listings/properties?page=9
atsogo,Plot for sale,Plot,For Sale,"LILONGWE, Area 43,",165000000.00,1500,0,0,2025-05-12 12:00:48,,https://atsogo.mw/listings/properties?page=9
atsogo,Office space,Commercial Property,For rent,"LILONGWE, Old Area 10,",3000000.00,0,8,3,2025-05-12 10:40:23,,https://atsogo.mw/listings/properties?page=9
atsogo,House for sale,Incompleted House,For Sale,"LILONGWE, Area 49 Baghdad,",100000000.00,450,3,2,2025-04-26 11:15:54,,https://atsogo.mw/listings/properties?page=9
atsogo,Plot in Area 41,Plot,For Sale,"LILONGWE, Area 41,",85000000.00,0,0,0,2025-06-20 11:00:03,,https://atsogo.mw/listings/properties?page=10
atsogo,Furnished House,Complete House,For rent,"LILONGWE, New Area 43,",2000.00,0,4,5,2025-06-20 10:41:53,,https://atsogo.mw/listings/properties?page=10
atsogo,Plot for sale,Land,For Sale,"LILONGWE, Area 46,",115000000.00,2100,0,0,2025-06-03 10:29:12,,https://atsogo.mw/listings/properties?page=10
atsogo,House for office use,Complete House,For rent,"LILONGWE, Area 6,",2000000.00,0,5,3,2025-05-19 13:16:34,,https://atsogo.mw/listings/properties?page=10
atsogo,Commercial property,Commercial Property,For Sale,"LILONGWE, Mitundu Trading,",35000000.00,0,0,0,2025-05-19 11:27:04,,https://atsogo.mw/listings/properties?page=10
atsogo,Plot for sale,Plot,For Sale,"LILONGWE, Area 43,",165000000.00,1500,0,0,2025-05-12 12:00:48,,https://atsogo.mw/listings/properties?page=10
atsogo,Office space,Commercial Property,For rent,"LILONGWE, Old Area 10,",3000000.00,0,8,3,2025-05-12 10:40:23,,https://atsogo.mw/listings/properties?page=10
atsogo,House for sale,Incompleted House,For Sale,"LILONGWE, Area 49 Baghdad,",100000000.00,450,3,2,2025-04-26 11:15:54,,https://atsogo.mw/listings/properties?page=10
atsogo,Plot in Area 41,Plot,For Sale,"LILONGWE, Area 41,",85000000.00,0,0,0,2025-06-20 11:00:03,,https://atsogo.mw/listings/properties?page=11
atsogo,Furnished House,Complete House,For rent,"LILONGWE, New Area 43,",2000.00,0,4,5,2025-06-20 10:41:53,,https://atsogo.mw/listings/properties?page=11
atsogo,Plot for sale,Land,For Sale,"LILONGWE, Area 46,",115000000.00,2100,0,0,2025-06-03 10:29:12,,https://atsogo.mw/listings/properties?page=11
atsogo,House for office use,Complete House,For rent,"LILONGWE, Area 6,",2000000.00,0,5,3,2025-05-19 13:16:34,,https://atsogo.mw/listings/properties?page=11
atsogo,Commercial property,Commercial Property,For Sale,"LILONGWE, Mitundu Trading,",35000000.00,0,0,0,2025-05-19 11:27:04,,https://atsogo.mw/listings/properties?page=11
atsogo,Plot for sale,Plot,For Sale,"LILONGWE, Area 43,",165000000.00,1500,0,0,2025-05-12 12:00:48,,https://atsogo.mw/listings/properties?page=11
atsogo,Office space,Commercial Property,For rent,"LILONGWE, Old Area 10,",3000000.00,0,8,3,2025-05-12 10:40:23,,https://atsogo.mw/listings/properties?page=11
atsogo,House for sale,Incompleted House,For Sale,"LILONGWE, Area 49 Baghdad,",100000000.00,450,3,2,2025-04-26 11:15:54,,https://atsogo.mw/listings/properties?page=11
atsogo,Plot in Area 41,Plot,For Sale,"LILONGWE, Area 41,",85000000.00,0,0,0,2025-06-20 11:00:03,,https://atsogo.mw/listings/properties?page=12
atsogo,Furnished House,Complete House,For rent,"LILONGWE, New Area 43,",2000.00,0,4,5,2025-06-20 10:41:53,,https://atsogo.mw/listings/properties?page=12
atsogo,Plot for sale,Land,For Sale,"LILONGWE, Area 46,",115000000.00,2100,0,0,2025-06-03 10:29:12,,https://atsogo.mw/listings/properties?page=12
atsogo,House for office use,Complete House,For rent,"LILONGWE, Area 6,",2000000.00,0,5,3,2025-05-19 13:16:34,,https://atsogo.mw/listings/properties?page=12
atsogo,Commercial property,Commercial Property,For Sale,"LILONGWE, Mitundu Trading,",35000000.00,0,0,0,2025-05-19 11:27:04,,https://atsogo.mw/listings/properties?page=12
atsogo,Plot for sale,Plot,For Sale,"LILONGWE, Area 43,",165000000.00,1500,0,0,2025-05-12 12:00:48,,https://atsogo.mw/listings/properties?page=12
atsogo,Office space,Commercial Property,For rent,"LILONGWE, Old Area 10,",3000000.00,0,8,3,2025-05-12 10:40:23,,https://atsogo.mw/listings/properties?page=12
atsogo,House for sale,Incompleted House,For Sale,"LILONGWE, Area 49 Baghdad,",100000000.00,450,3,2,2025-04-26 11:15:54,,https://atsogo.mw/listings/properties?page=12
atsogo,Plot in Area 41,Plot,For Sale,"LILONGWE, Area 41,",85000000.00,0,0,0,2025-06-20 11:00:03,,https://atsogo.mw/listings/properties?page=13
atsogo,Furnished House,Complete House,For rent,"LILONGWE, New Area 43,",2000.00,0,4,5,2025-06-20 10:41:53,,https://atsogo.mw/listings/properties?page=13
atsogo,Plot for sale,Land,For Sale,"LILONGWE, Area 46,",115000000.00,2100,0,0,2025-06-03 10:29:12,,https://atsogo.mw/listings/properties?page=13
atsogo,House for office use,Complete House,For rent,"LILONGWE, Area 6,",2000000.00,0,5,3,2025-05-19 13:16:34,,https://atsogo.mw/listings/properties?page=13
atsogo,Commercial property,Commercial Property,For Sale,"LILONGWE, Mitundu Trading,",35000000.00,0,0,0,2025-05-19 11:27:04,,https://atsogo.mw/listings/properties?page=13
atsogo,Plot for sale,Plot,For Sale,"LILONGWE, Area 43,",165000000.00,1500,0,0,2025-05-12 12:00:48,,https://atsogo.mw/listings/properties?page=13
atsogo,Office space,Commercial Property,For rent,"LILONGWE, Old Area 10,",3000000.00,0,8,3,2025-05-12 10:40:23,,https://atsogo.mw/listings/properties?page=13
atsogo,House for sale,Incompleted House,For Sale,"LILONGWE, Area 49 Baghdad,",100000000.00,450,3,2,2025-04-26 11:15:54,,https://atsogo.mw/listings/properties?page=13
atsogo,Plot in Area 41,Plot,For Sale,"LILONGWE, Area 41,",85000000.00,0,0,0,2025-06-20 11:00:03,,https://atsogo.mw/listings/properties?page=14
atsogo,Furnished House,Complete House,For rent,"LILONGWE, New Area 43,",2000.00,0,4,5,2025-06-20 10:41:53,,https://atsogo.mw/listings/properties?page=14
atsogo,Plot for sale,Land,For Sale,"LILONGWE, Area 46,",115000000.00,2100,0,0,2025-06-03 10:29:12,,https://atsogo.mw/listings/properties?page=14
atsogo,House for office use,Complete House,For rent,"LILONGWE, Area 6,",2000000.00,0,5,3,2025-05-19 13:16:34,,https://atsogo.mw/listings/properties?page=14
atsogo,Commercial property,Commercial Property,For Sale,"LILONGWE, Mitundu Trading,",35000000.00,0,0,0,2025-05-19 11:27:04,,https://atsogo.mw/listings/properties?page=14
atsogo,Plot for sale,Plot,For Sale,"LILONGWE, Area 43,",165000000.00,1500,0,0,2025-05-12 12:00:48,,https://atsogo.mw/listings/properties?page=14
atsogo,Office space,Commercial Property,For rent,"LILONGWE, Old Area 10,",3000000.00,0,8,3,2025-05-12 10:40:23,,https://atsogo.mw/listings/properties?page=14
atsogo,House for sale,Incompleted House,For Sale,"LILONGWE, Area 49 Baghdad,",100000000.00,450,3,2,2025-04-26 11:15:54,,https://atsogo.mw/listings/properties?page=14
atsogo,Plot in Area 41,Plot,For Sale,"LILONGWE, Area 41,",85000000.00,0,0,0,2025-06-20 11:00:03,,https://atsogo.mw/listings/properties?page=15
atsogo,Furnished House,Complete House,For rent,"LILONGWE, New Area 43,",2000.00,0,4,5,2025-06-20 10:41:53,,https://atsogo.mw/listings/properties?page=15
atsogo,Plot for sale,Land,For Sale,"LILONGWE, Area 46,",115000000.00,2100,0,0,2025-06-03 10:29:12,,https://atsogo.mw/listings/properties?page=15
atsogo,House for office use,Complete House,For rent,"LILONGWE, Area 6,",2000000.00,0,5,3,2025-05-19 13:16:34,,https://atsogo.mw/listings/properties?page=15
atsogo,Commercial property,Commercial Property,For Sale,"LILONGWE, Mitundu Trading,",35000000.00,0,0,0,2025-05-19 11:27:04,,https://atsogo.mw/listings/properties?page=15
atsogo,Plot for sale,Plot,For Sale,"LILONGWE, Area 43,",165000000.00,1500,0,0,2025-05-12 12:00:48,,https://atsogo.mw/listings/properties?page=15
atsogo,Office space,Commercial Property,For rent,"LILONGWE, Old Area 10,",3000000.00,0,8,3,2025-05-12 10:40:23,,https://atsogo.mw/listings/properties?page=15
atsogo,House for sale,Incompleted House,For Sale,"LILONGWE, Area 49 Baghdad,",100000000.00,450,3,2,2025-04-26 11:15:54,,https://atsogo.mw/listings/properties?page=15
atsogo,Plot in Area 41,Plot,For Sale,"LILONGWE, Area 41,",85000000.00,0,0,0,2025-06-20 11:00:03,,https://atsogo.mw/listings/properties?page=16
atsogo,Furnished House,Complete House,For rent,"LILONGWE, New Area 43,",2000.00,0,4,5,2025-06-20 10:41:53,,https://atsogo.mw/listings/properties?page=16
atsogo,Plot for sale,Land,For Sale,"LILONGWE, Area 46,",115000000.00,2100,0,0,2025-06-03 10:29:12,,https://atsogo.mw/listings/properties?page=16
atsogo,House for office use,Complete House,For rent,"LILONGWE, Area 6,",2000000.00,0,5,3,2025-05-19 13:16:34,,https://atsogo.mw/listings/properties?page=16
atsogo,Commercial property,Commercial Property,For Sale,"LILONGWE, Mitundu Trading,",35000000.00,0,0,0,2025-05-19 11:27:04,,https://atsogo.mw/listings/properties?page=16
atsogo,Plot for sale,Plot,For Sale,"LILONGWE, Area 43,",165000000.00,1500,0,0,2025-05-12 12:00:48,,https://atsogo.mw/listings/properties?page=16
atsogo,Office space,Commercial Property,For rent,"LILONGWE, Old Area 10,",3000000.00,0,8,3,2025-05-12 10:40:23,,https://atsogo.mw/listings/properties?page=16
atsogo,House for sale,Incompleted House,For Sale,"LILONGWE, Area 49 Baghdad,",100000000.00,450,3,2,2025-04-26 11:15:54,,https://atsogo.mw/listings/properties?page=16
atsogo,Plot in Area 41,Plot,For Sale,"LILONGWE, Area 41,",85000000.00,0,0,0,2025-06-20 11:00:03,,https://atsogo.mw/listings/properties?page=17
atsogo,Furnished House,Complete House,For rent,"LILONGWE, New Area 43,",2000.00,0,4,5,2025-06-20 10:41:53,,https://atsogo.mw/listings/properties?page=17
atsogo,Plot for sale,Land,For Sale,"LILONGWE, Area 46,",115000000.00,2100,0,0,2025-06-03 10:29:12,,https://atsogo.mw/listings/properties?page=17
atsogo,House for office use,Complete House,For rent,"LILONGWE, Area 6,",2000000.00,0,5,3,2025-05-19 13:16:34,,https://atsogo.mw/listings/properties?page=17
atsogo,Commercial property,Commercial Property,For Sale,"LILONGWE, Mitundu Trading,",35000000.00,0,0,0,2025-05-19 11:27:04,,https://atsogo.mw/listings/properties?page=17
atsogo,Plot for sale,Plot,For Sale,"LILONGWE, Area 43,",165000000.00,1500,0,0,2025-05-12 12:00:48,,https://atsogo.mw/listings/properties?page=17
atsogo,Office space,Commercial Property,For rent,"LILONGWE, Old Area 10,",3000000.00,0,8,3,2025-05-12 10:40:23,,https://atsogo.mw/listings/properties?page=17
atsogo,House for sale,Incompleted House,For Sale,"LILONGWE, Area 49 Baghdad,",100000000.00,450,3,2,2025-04-26 11:15:54,,https://atsogo.mw/listings/properties?page=17
atsogo,Plot in Area 41,Plot,For Sale,"LILONGWE, Area 41,",85000000.00,0,0,0,2025-06-20 11:00:03,,https://atsogo.mw/listings/properties?page=18
atsogo,Furnished House,Complete House,For rent,"LILONGWE, New Area 43,",2000.00,0,4,5,2025-06-20 10:41:53,,https://atsogo.mw/listings/properties?page=18
atsogo,Plot for sale,Land,For Sale,"LILONGWE, Area 46,",115000000.00,2100,0,0,2025-06-03 10:29:12,,https://atsogo.mw/listings/properties?page=18
atsogo,House for office use,Complete House,For rent,"LILONGWE, Area 6,",2000000.00,0,5,3,2025-05-19 13:16:34,,https://atsogo.mw/listings/properties?page=18
atsogo,Commercial property,Commercial Property,For Sale,"LILONGWE, Mitundu Trading,",35000000.00,0,0,0,2025-05-19 11:27:04,,https://atsogo.mw/listings/properties?page=18
atsogo,Plot for sale,Plot,For Sale,"LILONGWE, Area 43,",165000000.00,1500,0,0,2025-05-12 12:00:48,,https://atsogo.mw/listings/properties?page=18
atsogo,Office space,Commercial Property,For rent,"LILONGWE, Old Area 10,",3000000.00,0,8,3,2025-05-12 10:40:23,,https://atsogo.mw/listings/properties?page=18
atsogo,House for sale,Incompleted House,For Sale,"LILONGWE, Area 49 Baghdad,",100000000.00,450,3,2,2025-04-26 11:15:54,,https://atsogo.mw/listings/properties?page=18
atsogo,Plot in Area 41,Plot,For Sale,"LILONGWE, Area 41,",85000000.00,0,0,0,2025-06-20 11:00:03,,https://atsogo.mw/listings/properties?page=19
atsogo,Furnished House,Complete House,For rent,"LILONGWE, New Area 43,",2000.00,0,4,5,2025-06-20 10:41:53,,https://atsogo.mw/listings/properties?page=19
atsogo,Plot for sale,Land,For Sale,"LILONGWE, Area 46,",115000000.00,2100,0,0,2025-06-03 10:29:12,,https://atsogo.mw/listings/properties?page=19
atsogo,House for office use,Complete House,For rent,"LILONGWE, Area 6,",2000000.00,0,5,3,2025-05-19 13:16:34,,https://atsogo.mw/listings/properties?page=19
atsogo,Commercial property,Commercial Property,For Sale,"LILONGWE, Mitundu Trading,",35000000.00,0,0,0,2025-05-19 11:27:04,,https://atsogo.mw/listings/properties?page=19
atsogo,Plot for sale,Plot,For Sale,"LILONGWE, Area 43,",165000000.00,1500,0,0,2025-05-12 12:00:48,,https://atsogo.mw/listings/properties?page=19
atsogo,Office space,Commercial Property,For rent,"LILONGWE, Old Area 10,",3000000.00,0,8,3,2025-05-12 10:40:23,,https://atsogo.mw/listings/properties?page=19
atsogo,House for sale,Incompleted House,For Sale,"LILONGWE, Area 49 Baghdad,",100000000.00,450,3,2,2025-04-26 11:15:54,,https://atsogo.mw/listings/properties?page=19
atsogo,Plot in Area 41,Plot,For Sale,"LILONGWE, Area 41,",85000000.00,0,0,0,2025-06-20 11:00:03,,https://atsogo.mw/listings/properties?page=20
atsogo,Furnished House,Complete House,For rent,"LILONGWE, New Area 43,",2000.00,0,4,5,2025-06-20 10:41:53,,https://atsogo.mw/listings/properties?page=20
atsogo,Plot for sale,Land,For Sale,"LILONGWE, Area 46,",115000000.00,2100,0,0,2025-06-03 10:29:12,,https://atsogo.mw/listings/properties?page=20
atsogo,House for office use,Complete House,For rent,"LILONGWE, Area 6,",2000000.00,0,5,3,2025-05-19 13:16:34,,https://atsogo.mw/listings/properties?page=20
atsogo,Commercial property,Commercial Property,For Sale,"LILONGWE, Mitundu Trading,",35000000.00,0,0,0,2025-05-19 11:27:04,,https://atsogo.mw/listings/properties?page=20
atsogo,Plot for sale,Plot,For Sale,"LILONGWE, Area 43,",165000000.00,1500,0,0,2025-05-12 12:00:48,,https://atsogo.mw/listings/properties?page=20
atsogo,Office space,Commercial Property,For rent,"LILONGWE, Old Area 10,",3000000.00,0,8,3,2025-05-12 10:40:23,,https://atsogo.mw/listings/properties?page=20
atsogo,House for sale,Incompleted House,For Sale,"LILONGWE, Area 49 Baghdad,",100000000.00,450,3,2,2025-04-26 11:15:54,,https://atsogo.mw/listings/properties?page=20
atsogo,Plot in Area 41,Plot,For Sale,"LILONGWE, Area 41,",85000000.00,0,0,0,2025-06-20 11:00:03,,https://atsogo.mw/listings/properties?page=21
atsogo,Furnished House,Complete House,For rent,"LILONGWE, New Area 43,",2000.00,0,4,5,2025-06-20 10:41:53,,https://atsogo.mw/listings/properties?page=21
atsogo,Plot for sale,Land,For Sale,"LILONGWE, Area 46,",115000000.00,2100,0,0,2025-06-03 10:29:12,,https://atsogo.mw/listings/properties?page=21
atsogo,House for office use,Complete House,For rent,"LILONGWE, Area 6,",2000000.00,0,5,3,2025-05-19 13:16:34,,https://atsogo.mw/listings/properties?page=21
atsogo,Commercial property,Commercial Property,For Sale,"LILONGWE, Mitundu Trading,",35000000.00,0,0,0,2025-05-19 11:27:04,,https://atsogo.mw/listings/properties?page=21
atsogo,Plot for sale,Plot,For Sale,"LILONGWE, Area 43,",165000000.00,1500,0,0,2025-05-12 12:00:48,,https://atsogo.mw/listings/properties?page=21
atsogo,Office space,Commercial Property,For rent,"LILONGWE, Old Area 10,",3000000.00,0,8,3,2025-05-12 10:40:23,,https://atsogo.mw/listings/properties?page=21
atsogo,House for sale,Incompleted House,For Sale,"LILONGWE, Area 49 Baghdad,",100000000.00,450,3,2,2025-04-26 11:15:54,,https://atsogo.mw/listings/properties?page=21
